rackM5_X ,rackM5_Y ,rackM5_Z ,rackM1_X ,rackM1_Y ,rackM1_Z ,rackM2_X ,rackM2_Y ,rackM2_Z ,rackM6_X ,rackM6_Y ,rackM6_Z ,rackM3_X ,rackM3_Y ,rackM3_Z ,rackM4_X ,rackM4_Y ,rackM4_Z,rampM3_X,rampM3_Y,rampM3_Z,basketM2_X,basketM2_Y,basketM2_Z,basketM1_X,basketM1_Y,basketM1_Z,rampM1_X,rampM1_Y,rampM1_Z,basketM3_X,basketM3_Y,basketM3_Z,rampM2_X,rampM2_Y,rampM2_Z
280.3503723,1528.580078,22.02982712,63.13606262,1528.071533,14.146492,13.00264931,1261.175049,25.37804413,-31.13506508,957.6480103,26.68272018,-46.94124222,510.0823975,30.8239975,-100.0086212,888.5999756,27.67028618,-101.9635544,781.7737427,27.79832459,-99.71781158,670.4466553,29.42970085,-101.6248093,559.3588257,30.22230339,666.4458618,-562.7736206,463.430542,673.3587036,333.8075867,99.64496613,1216.417847,335.6893616,102.3071442
280.0634155,1528.422852,22.46966553,63.8456459,1526.416504,14.66955471,12.97956944,1261.19165,25.42040825,-30.82418442,957.4002075,26.61576271,-46.92520523,510.1199341,30.77243423,-100.0160751,888.5909424,27.68651962,-101.9478531,781.7817993,27.80514145,-99.61909485,670.2788696,29.51441574,-101.6170502,559.3751831,30.22036934,666.4303589,-562.7491455,463.4302063,673.7559204,333.8991394,99.49305725,1216.391724,335.6951294,102.2856674
279.7518311,1529.422241,23.27541542,63.13316727,1528.055176,14.14681244,12.99859428,1261.193726,25.40298271,-31.12652397,957.6201782,26.70145226,-46.9928093,510.1782227,30.7507782,-100.0069122,888.5946045,27.6742363,-101.9661102,781.7821655,27.79234695,-99.78139496,670.4920654,29.42774582,-101.2879334,559.6453857,29.65651512,666.4558716,-562.7640381,463.4467773,673.7428589,333.8910217,99.53044891,1216.395142,335.6893311,102.2950821
280.1333313,1529.394043,22.63080597,63.14056015,1528.026733,14.17002487,13.00758171,1261.200562,25.38131523,-30.96713448,957.3409424,26.83149338,-46.94779205,510.125,30.77097321,-100.0107803,888.6072998,27.6653347,-101.9555054,781.7640381,27.79145813,-99.67258453,670.4041748,29.43210793,-101.6298141,559.378479,30.21971321,666.4458618,-562.7736206,463.430542,673.8809204,333.9915771,99.35752869,1216.428955,335.6793518,102.2846985
280.3003845,1528.890137,22.20210457,63.14673233,1528.035034,14.19755173,13.4674778,1261.411255,24.97618485,-30.70767784,957.5338745,26.38145256,-46.96892929,510.1252747,30.7823658,-100.0148544,888.5886841,27.67367935,-101.9657516,781.784729,27.80924988,-99.67863464,670.3314819,29.50692558,-101.3183289,559.6817627,29.6702919,666.4320068,-562.7489014,463.4290466,674.1252441,334.2703552,99.00563812,1216.435791,335.6590271,102.2532959
279.9751587,1528.196655,22.55679893,63.11344528,1527.991821,14.38118458,13.31182861,1261.192993,25.04493904,-30.73788834,957.4666138,26.45138931,-47.05515289,509.9414063,31.04280853,-100.0005112,888.5893555,27.66274071,-101.9654617,781.7873535,27.80042076,-99.75267029,670.4802856,29.42284775,-101.6057281,559.397522,30.19396973,666.4490356,-562.7731934,463.4283142,673.7305908,333.8979797,99.51591492,1216.44873,335.6523132,102.2603607
279.7374268,1528.70813,23.0942688,63.16900253,1528.042603,14.2269516,13.62742805,1261.419556,24.79017067,-31.07516479,957.5639648,26.73773575,-46.99547195,510.1268921,30.80465698,-100.0144882,888.5932007,27.66259384,-101.959343,781.7827148,27.8093071,-99.68709564,670.5835571,29.25357246,-101.3209915,559.6348877,29.7199173,666.449707,-562.7727661,463.4275818,674.1599121,333.9193726,99.48144531,1216.488403,335.6256104,102.219101
280.0308228,1528.552124,22.56589699,63.89525986,1526.283936,14.31215954,13.59779835,1261.430786,24.84729576,-30.71987534,957.5355835,26.39649391,-47.06266022,509.7506104,31.24935722,-100.0168915,888.5794678,27.68010139,-101.9539413,781.7703247,27.81096649,-99.74905396,670.4735718,29.41517067,-101.3612671,559.6478882,29.74046135,666.4578857,-562.7700195,463.418457,674.1411743,333.9178467,99.45948792,1216.487549,335.6410522,102.2165222
280.2492981,1528.614014,22.18734169,63.18112183,1528.13269,14.13836193,13.63436222,1261.426147,24.80573463,-30.72614288,957.4863892,26.44127655,-47.2003746,509.8468628,31.25004959,-100.0124207,888.5697021,27.66592598,-101.9527054,781.7733765,27.81987762,-99.74315643,670.4640503,29.41486359,-101.3479996,559.6417236,29.73778152,666.4639282,-562.7628174,463.4403687,673.7797852,333.9336243,99.47577667,1216.523315,335.6071472,102.1792755
280.0348816,1528.559204,22.56113052,63.78855896,1526.371704,14.4912014,13.55584812,1261.419312,24.89972115,-30.91221237,957.3388062,26.79150391,-47.04502106,509.9264526,31.0506649,-100.0208282,888.5759888,27.66846085,-101.9642181,781.7842407,27.81748009,-99.70281219,670.4103394,29.42726517,-101.5049133,559.5615845,29.95275879,666.4588623,-562.7713623,463.4189148,673.8804932,333.9995728,99.3677597,1216.514526,335.6210022,102.1842804
