rackM5_X ,rackM5_Y ,rackM5_Z ,rackM1_X ,rackM1_Y ,rackM1_Z ,rackM2_X ,rackM2_Y ,rackM2_Z ,rackM6_X ,rackM6_Y ,rackM6_Z ,rackM3_X ,rackM3_Y ,rackM3_Z ,rackM4_X ,rackM4_Y ,rackM4_Z,rampM3_X,rampM3_Y,rampM3_Z,basketM2_X,basketM2_Y,basketM2_Z,basketM1_X,basketM1_Y,basketM1_Z,rampM1_X,rampM1_Y,rampM1_Z,basketM3_X,basketM3_Y,basketM3_Z,rampM2_X,rampM2_Y,rampM2_Z
274.1938171,1521.893188,22.1897831,60.14051056,1522.375366,15.90792274,7.007069588,1255.932251,25.77474976,657.5814819,-573.449585,468.2283325,669.0537109,322.6210632,101.4718094,1210.411499,320.6603088,103.2370377,-35.78559113,950.2073975,27.82730484,-53.78010559,502.9188538,31.90315628,-105.3867264,881.5189819,28.52335358,-107.3140411,775.1578369,28.56250572,-106.4461899,662.300354,30.12270546,-106.9323273,553.1843262,31.21380806
273.7597046,1521.971558,22.97772026,60.08816147,1522.435913,16.00271034,6.630801678,1255.942505,26.21392441,657.586792,-573.4420776,468.2504578,669.0415649,322.6582336,101.3933182,1210.413818,320.6786194,103.2193527,-35.7678833,950.1738281,27.82408142,-53.77191162,502.8999329,31.90831184,-105.4014664,881.5027466,28.55822563,-107.3102722,775.1495361,28.55258369,-106.4431305,662.3095703,30.10951042,-106.9409103,553.203186,31.21810532
273.5715332,1522.150146,23.34342194,60.13119507,1522.42749,15.91684914,6.671082497,1255.873413,26.18358803,657.5814819,-573.449585,468.2283325,668.9852295,322.6066284,101.5045624,1210.413086,320.68396,103.2277298,-35.78993607,950.5128174,27.52238655,-53.76535797,502.9403076,31.8599205,-105.3867264,881.5189819,28.52335358,-107.304512,775.1508789,28.55529785,-106.4442062,662.3099976,30.10962868,-106.9392319,553.2059326,31.20511818
273.7534485,1521.973389,22.95712852,60.14381409,1522.429565,15.87196255,6.593236923,1255.880249,26.29514885,657.5648804,-573.4574585,468.2341003,669.0045166,322.6079407,101.5032272,1210.408569,320.666687,103.2125015,-35.39816666,949.8936157,27.72730827,-53.63183594,503.1117249,31.58061028,-105.392189,881.4995117,28.53269768,-107.3183365,775.1497803,28.55681229,-106.4414291,662.3095093,30.12335968,-106.9321518,553.1759644,31.21918869
273.8559265,1521.71814,22.72504234,60.14544678,1522.427734,15.87536621,7.00863409,1255.931152,25.77724266,657.5492554,-573.4332886,468.2337952,669.317688,322.9354858,101.0467224,1210.402344,320.6751709,103.2102814,-35.79042053,950.460022,27.57330704,-53.55260086,503.2457581,31.38878632,-105.3880997,881.5076294,28.52819824,-107.3115768,775.133606,28.54597473,-106.4820175,662.2900391,30.16509438,-106.9421463,553.1777954,31.23494339
273.9476013,1521.982788,22.6899395,60.11327362,1522.471802,15.87053013,7.011306286,1255.946777,25.77900505,657.5491943,-573.4334106,468.2337646,668.5302124,322.4297485,101.7047043,1210.394287,320.6786194,103.232811,-35.73282242,950.1514282,27.80881882,-53.54532242,503.2415161,31.36852455,-105.4066544,881.5106812,28.53071022,-107.3120499,775.1610718,28.56557465,-106.5256119,662.4532471,30.03949165,-106.9294052,553.1834106,31.2146492
273.8345337,1522.12854,22.8761158,60.20472717,1522.371338,15.8249855,7.014028072,1255.933594,25.77490234,657.5444946,-573.4407349,468.2106018,669.3705444,322.6389771,101.46418,1210.378296,320.6959229,103.2228317,-35.74811554,950.1785889,27.80329895,-53.55515289,503.2236023,31.41275406,-105.4047012,881.510376,28.55256271,-107.3110428,775.1362305,28.555336,-106.5535278,662.2629395,30.25711632,-107.0005722,553.1043091,31.35912132
273.728241,1522.338379,23.16996193,60.14884949,1522.368408,15.98761749,7.014481068,1255.944214,25.78317261,657.5651855,-573.4575195,468.2328796,669.0831909,322.8496704,101.1422577,1210.391357,320.7131042,103.2035599,-35.75987625,950.2357178,27.75110435,-53.76758575,502.950531,31.85139084,-105.4097519,881.5087891,28.54715347,-107.3180161,775.1384888,28.55842781,-106.4203568,662.2971802,30.09627533,-106.9195099,553.1737061,31.22209358
273.6824646,1522.393677,23.2187748,60.16898727,1522.457764,15.81856155,7.016180992,1255.94043,25.79119682,657.56604,-573.425415,468.2272644,669.1658325,322.5574341,101.5565262,1210.364746,320.7017517,103.2327347,-35.73374176,950.1820068,27.79743195,-53.74361038,502.9547424,31.82907867,-105.4082718,881.5094604,28.53470612,-107.3124008,775.1304321,28.54213142,-106.4449615,662.2636108,30.15310669,-106.9200974,553.1901245,31.21054649
273.9143677,1521.656738,22.65303802,60.1738205,1522.44873,15.86308861,7.017583847,1255.930908,25.7812748,657.5687866,-573.4508667,468.2570801,668.9865112,322.6030579,101.4845047,1210.355713,320.7079163,103.2258301,-35.74503326,950.3630981,27.62062836,-53.7439003,502.9541321,31.81787491,-105.4177551,881.5076294,28.5571785,-107.3094482,775.1356201,28.56001854,-106.4065552,662.286438,30.11060524,-106.990593,553.1071167,31.34402466
